,Unnamed: 0,category,text,star
0,0,cake pastry,"Mình đã gọi ship bông lan trứng muối ở đây về hôm vừa rồi, hộp 60k rất to và đầy đặn. Cốt bánh mềm thơm, sốt dầu trứng rất ngậy, trứng muối bào vụn mình không thích lắm nhưng ăn cũng được, có cả sốt phô mai nữa cũng ngon lắm ạ. Mình đánh bay cả cái bánh trong khoảng 30 phút :))) Giao hàng nhanh chóng, giá cả phải chăng, có thêm mã giảm giá bên Now áp vào là vừa. Chắc chắn mình sẽ còn ủng hộ những lần sau và thử cả những loại bánh khác nữa.",4
1,1,cake pastry,"Ciasto - Shop online -***
Quán bánh keto mình thấy trên Now nhưng có bán cả bánh bình thường (không keto)

- Bánh ở đây khá ngon nè, hộp bánh đầy đặn có 2 lớp sốt là fomai và dầu trứng. Tuy nhiên lớp sốt fomai khá nhạt nhòa, bị sốt dầu trứng lấn át hết rùi. Đây cũng là điểm trừ duy nhất của bánh. Bánh cốt mềm nhẹ như bông, ruốc cũng nhẹ như bông, ăn đưa miệng lắm luôn.

- Mình k nhớ giá là 70k hay 75k gì đó, đc freeship qua Now nha #NowFoodYEP",3
2,2,cake pastry,"Lần đầu tiên mình đặt bltm keto của shop, ăn hợp vị, cốt bánh mềm, topping đầy đặn. Sẽ thử thêm các món khác nữa!",4
3,3,cake pastry,Bánh siêu mềm mà bột thì siêu thơm. Theo mình tìm hiểu thì bánh được làm từ bột hạnh nhân chứ không phải bột mì mà giá như này thì mình thấy rất ổn.,5
4,4,cake pastry,"Bánh ngon, ăn hoài không lo béo",5
5,5,cake pastry,"Bánh ngon lắm ạ! Tiệm online nhưng phục vụ tận tình như tiệm bánh thật luôn. Mình đang ăn kiêng theo chế độ Keto, tìm đc tiệm mà như tìm đc chân ái! Mình có clip review cho tiệm luôn!",5
6,6,cake pastry,"Su House -***#NowFoodYEP

Chs mình luôn thíc Su House hơn Chewy Junior í, ngon hơn hẳn lun mà rẻ hơn bao nhiêu ý.... Loại này là puff vani, có 9c 3 vị khác nhau: oreo, tart xoài và hạnh nhân. Vị nào cũng ngon, su bên trong chảy nhân mát lạnh. Hộp cũng rất đẹp và có cả card của Su House nữa. Mua loại này về làm quà tặng, biếu đều rất hợp lí",4
7,7,cake pastry,"thật sự để miêu tả là cả 1 cái cốt bánh khô khốc rắc thêm mấy miếng trứng muối và vứt vào mấy miếng phô mai , sốt nhạt toẹt rợn người , thậm chí ít ra thì topping gắn sao cho dính vô cốt bánh đi ???? oke di chuyển có thể xô lệch nma k thể lệch đến độ dính lại hẳn vào cx chắc đc ???? chưa có 1 shop nào mà nó rời rạc như này ??? nhìn đã khỏi muốn ăn . Nếu không phải do a shipper trời mưa cất công mang đến thì ném sọt rác rồi",1
8,8,cake pastry,"chả hiểu sao lại có người khen được bánh ở đây kiểu thật sự í???? hôm nay có ord bltm hai loại xốt, thật ra một hay hai gì thì nó cũng y hệt nhau thôi ăn ko phân biệt đc đâu mọi người ạ, vì cả hai đều ngọt ngọt mà ngọt kiểu nhạt xong lợ lợ nhờ nhờ ấy, rv khác thấy bảo thơm mùi sữa bột nhưng sao mình ăn chẳng thấy có tí mùi thơm nào???? trứng muối cắt lát mỏng dính siêu mỏng lèo tèo phủ trên mặt bánh, cả cái bánh không biết có đc nửa quả trứng không. cốt quá ngọt ăn y chang cốt gato. bánh cao nhưng không đầy hộp đâu ạ kiểu có ai nhìn thấy cái khoảng trống giữa cái bánh với cái hộp ko :)))) toang hoác luôn ấy.
cái bánh giảm giá + ship các kiểu chỉ còn 60k. cho một cái bánh bltm thì ko đắt nhưng với trường hợp này thì thôi xin bye",2
9,9,cake pastry,"Cốt bánh mềm, bông xốp. Cả cốt và sốt đều thơm nhẹ mùi sữa bột. Toping k quá nhiều nhưng cũng k có điểm chê
Tóm lại nếu thích ăn ngậy thì rất nên order ở đây",4
10,10,cake pastry,"M không hay ăn bánh ngọt lắm nhưng đặt đồ của tiệm thấy vừa miệng, thơm ngon, ăn không bị ngấy.
1 bông lan trứng muối và 2 trà thái, giá rẻ mà ăn đầy đặn, vị tươi mát, ship hàng cũng rất nhanh, không xa nên rất tiện, 2 người ăn no nê luôn 😋",5
