,Unnamed: 0,category,text,star
0,0,chicken,"Tối nay gọi đặt 1 pizza. Nhưng chất lg ko đc ưng ý như kỳ vọng vì thấy mọi người rate điểm khá cao. Mình cũng thuộc loại dễ ăn mà ko sao ăn đc hết đế bánh. Chỉ múc cheese và topping ăn tạm. Đế bánh ỉu, ko giòn, ko có mùi thơm ăn ko khác gì bánh mỳ nguội nướng vội lại.",2
1,1,chicken,"Mình đặt 1 combo 1 bánh 1 mì và 1 bánh mì bơ tỏi có giá gần 150k. Tưởng là sẽ ít nhưng đồ nhiều không tưởng. Mì ngon, nhiều sốt có thể dùng sốt này chấm bánh mì bơ tỏi rất hợp. Anh chủ quán khá nhiệt tình niềm nở khi gọi điện và hỏi mình muốn ăn loại nào trong combo. Với 1 bữa ăn 2 ng như vậy cho một buổi tối là quá ổn áp ạ",3
2,2,chicken,Đây là cái gì đây gói tương ớt ít tí . may vị cứu vãn,3
3,3,chicken,"Mình tìm được quán pizza ngay gần công ty, review cũng tốt nên đến ăn thử. Quán tầng 1 hình như bán ăn sáng, phải ngước lên tầng 2 mới thấy tên quán. Quán vắng, vì thấy anh chủ kêu chủ yếu là toàn ship đồ về nhà. Mình có gọi mì ý, pizza hawai và bánh mì bơ tỏi. Mì ý nhiều sốt, pizza nhiều cheese, bánh mì nhiều bơ và thêm mùi tỏi. Nói chung đồ ăn ngon, vừa miệng. Lần sau sẽ gọi về nhà ăn.",4
4,4,chicken,"Hôm nay con gái đòi ăn pizza, mình tìm trên now thấy cửa hàng tương đối gần, review tốt. Mình gọi ăn thử. Pizza ngon hơn so với kì vọng, con gái mình ăn 1 lèo hết được 2/3 cái pizza 22cm. Phô mai của shop chuẩn và ngon. Đế bánh hơi chán nhưng topping ngon đỡ lại. 
Nói chung quá ổn so với giá 😘 lần sau mình sẽ tiếp tục ủng hộ.",4
5,5,chicken,"Hôm qua trời mát mình lại thèm pizza. Lâu lắm mới ăn lại nên mình gọi 3 cái luôn :)))) 1 BBQ Chicken 22cm, 1 Bolognaise 22cm, 1 Sausage 30cm. Vẫn ngon y như ngày nào :> 
Tại gọi 3 cái r nên mình ko gọi thêm cheese nữa nhưng vẫn nhiều cheese :”) Bánh xúc xích là lần đầu tiên mình ăn và cũng ngon lắm nhé. Bánh này các bạn trẻ con sẽ rất thích đó vì em mình ăn một mình hết 3 miếng luôn :)))
Hqua mình gọi thì được giảm giá món (mình nhìn sơ sơ thì 30% thì phải) + freeship đó. Cứ tưởng hết promo r mà vẫn còn yêu quán ghê cơ
Vẫn highly recommend nha vừa ngon vừa được giảm giá 💯",5
6,6,chicken,"Buổi trưa hnay t đi qua chỗ này, thấy có quá pizza mới xinh xinh nên vào mua thử luôn

✅Vị trí: Thực ra t thấy quán hơi bị khuất í. Nếu đi xuôi chiều thì hơi khó thấy. T đi chậm chậm nhìn đường nên mới phát hiện ra. Quán ngay cạnh cổng trường đảng nha. Nếu tìm đến ăn thì mng tìm trường đảng r nhìn sang mấy quán bên phải là thấy đó. Được cái gần nhà t nên tiện đi mua hehe. Chấm 8/10

✅Phục vụ: Nhân viên ở đây thực sự rất đáng yêu í. Trưa t đến có một bạn phục vụ và nhận order và một chị phục vụ nữa. Bạn nhận order nhiệt tình lắm nhé. T chọn đồ phải hơn 5p rồi hỏi rõ nhiều 😂 thế mà bạn vẫn niềm nở giải thích cho t. Đồ ăn làm theo t thấy là nhanh vì t order xong mà chờ gần 20p thôi là có đồ mang về r. Lúc t chờ thì bạn phục vụ còn mang nước mát mời t nữa. 10/10 điểm phục vụ ạ 👏👌

✅Giá tiền: T gọi pizza bolognaise size 30 cm là 260k thêm cheese và spaghetti steak 80k. T thấy thì giá ko phải quá rẻ, tuy nhiên chất lượng đồ thì thực sự phù hợp với giá í. 8/10 nha

✅Chất lượng đồ: T là cheese lover chính hiệu luôn (Thế nên mới gọi thêm cheese ^^). Lúc t mang về đến nhà bánh pizza vẫn nóng hổi, t ăn cheese vẫn kéo dài đc 😍😍😍. Nhìn cheese ngập tràn thích mê luôn. Vỏ bánh giòn thơm. Nhân bò ngô nhiều và vị rất vừa. Spaghetti cũng vẫn nóng nhưng mà kem có hơi cô vào một tí. Tuy nhiên vẫn ngon và ngậy. Mỳ rất nhiều nấm í me like it 👏 T và em ăn thì no căng bụng 😂 Bthg t gọi pizza ko ăn hết đâu mà lần này ăn hết nhẵn luôn. 9/10 cho đồ ăn chất lượng

✅Không gian: Quán có 2 tầng, gọn gàng và lịch sự. 8/10 nhé 

Trưa t đến thì tầng 1 đang có 2 bàn ăn và tầng 2 cũng có 2 bàn thì phải theo lời bé phục vụ. Còn các anh now, grab với go việt tấp nập luôn 😂 t có check qua thì thấy quán đang có promotion code trên now 😂😂 thảo nào đông các anh Delivery thế :))))

❤️!!Ảnh no-filter nha nhìn đẹp ghê :))))!!",5
7,7,chicken,"Nhà mình ngay gần, thấy 5 bạn review 9+ nên ra ăn trưa thử, ấn tượng đầu tiên là...quán vắng ko thấy chủ và nhân viên đâu, chỉ thấy 3-4 bạn delivery/grab food đến lấy order trong khoảng thời gian 40p ở quán. Chị lấy order chắc mới nên chưa thuộc món, nhưng bù lại rất lịch sự và hiếu khách dù chạy lên xuống liên tục. 
gọi pizza bolognaise và carbonara spaghetti, không có promo nữa nên full giá pizza nhỏ 140k và spaghetti 80k. Điểm + là đế pizza giòn ngon, thịt bò và cheese thơm ngon nhưng nhiều cheese ít thịt, bánh 22cm cảm giác giá hơi đắt. Spaghetti không nhiều, hơi ít sốt kem, vị thì ok nhưng không chuẩn vị carbonara lắm, chỉ đánh giá 7/10 cả 2 món. 
Tóm lại, chất lượng đồ ăn và dịch vụ tạm ổn, 7/10, giá hơi chát 6/10",3
8,8,chicken,"Quán này gần cơ quan nên hôm nay tôi ra ăn thử. Vì công việc khá bận nên tôi mua mang về. Tôi chọn spaghetti steak nhưng vì đang kiêng thịt bò nên xin bạn chủ quán đổi sang bacon và bạn rất vui vẻ nhận lời. Thái độ thân thiện như thế là rất ăn điểm trong mắt tôi 👏 
Tôi có thói quen mang hộp của mình đi mua đồ ăn trưa. Hộp của tôi khá sâu lòng mà mì đầy đến nửa hộp. Mì rất ngon, sốt kem béo, ngậy và đậm đà. Nấm và bacon cũng rất ngon và nhiều. Tôi ăn hết cả hộp và thấy rất no. 
Ưng đồ ăn ở đây và cả thái độ của bạn chủ nữa. Lần sau tôi sẽ quay lại!",5
9,9,chicken,"Hnay trời lạnh lạnh nên mình lại lên cơn thèm pizza. Sẵn có hội bạn nên gọi nhiều để thử vị lun. Mình gọi 3 loại là pizza Hawaii, BBQ chicken và bolognaise. Cứ quên ko thêm cheese thôi nhma bánh vẫn ngập cheese 😁 (các bạn nào thích cheese thì mình vẫn recommend thêm cheese nha vì cheese ở đây rất ngon). Mình đặt tầm 30p là có bánh luôn rồi. Bánh nóng hổi, thơm lừng luôn. Hôm nay ngoài bolognaise mình vừa gọi hôm trc r thì mình có thử 2 vị mới là Hawaii và BBQ chicken. Hawaii là pizza jambon và dứa còn BBQ chicken thì là gà nấm. Vị nào cũng rất ngon 😍 mình cứ lo gà bị khô nhưng ko hề nha, rất thấm sốt lun.
Mình gọi 3 cái 22cm và đc discount 50% :>> tính ra 1 cái chưa đến 100k í mà siêu ngon ‼️‼️",5
10,10,chicken,"Hôm trước mình ăn spaghetti r nên hôm nay order pizza. Mình gọi pizza bolognaise size 30cm. Lúc gọi ko để ý nên ko chọn thêm cheese 😢 nhma lúc nhận thì siêu bất ngờ luônn. Lúc bánh đến vẫn rất nóng hổi. Bánh đầy đặn, nhiều nhân, cheese cũng rất nhiều (nhưng mà vì mình thích cheese nên chắc chắn lần sau sẽ gọi thêm cheese 😁😁). Không giống nhiều chỗ mình ăn, nhân bò ở đây rất nhiều >< sốt thì cực kì vừa miệng làm tổng thể cả cái bánh rất hài hoà. Đặc biệt là đế bánh đỉnh luôn í. Mình rất thích ăn đế bánh ở đây. 
Nhà mình có 4 người, ăn hết cả cái 8 miếng trong vòng một nốt nhạc. Hôm nay vẫn được khuyến mại 50%, nhà mình lại gần nữa nên mất có 110k cho một cái bánh to và ngon thế này :”>
Thế là bâyh mình đã tìm được quán tủ của mình rùi. Hôm nào mình sẽ ra cửa hàng ăn vì nghe bạn mình nói là ở đấy còn có bò Úc với cá hồi nướng nữa 😍😍😍😍",5
11,11,chicken,"Hôm nay mình thấy quán mới, lại giảm tận 50% nên thử
Mình gọi pizza hải sản size 30cm và thực sự quá là hài lòng vì chất lượng. Nhân đầy đặn, nhiều tôm, cắn ngập răng 😁 đế bánh ở đây khác với những chỗ pizza mình từng ăn. Con trai mình không thích ăn đế bánh mà hôm nay hết sạch.
Mình đặt tầm 40 phút là bánh đến rồi, vẫn nóng hổi. Hai bố con ăn no nhưng vẫn thòm thèm. Lần sau chắc chắn mình sẽ gọi lại",5
12,12,chicken,"Hôm qua mình gọi mỳ spaghetti đến Kim Mã. Thời gian có hàng khá nhanh, tầm 35p thôi. Mình gọi mỳ carbonara, bolognaise và steak. Tất cả đều nóng và đầy đặn. Sốt kem của steak và carbonara siêu ngon lunn 💯💯💯 siêu ngậy và nhiều. Sốt cà chua của mỳ bolo thì vừa vặn.
Đặc biệt là mỳ rất nhiều nhân í. Quá ổn với mức giá 80k
Mình gọi hôm qua còn có code 50% nữa nên là còn mỗi 40k một suất thui (mình thấy là đắt hơn nữa thì vẫn xứng đáng)
Ncl mình cực ưng quá này. Lần sau sẽ thử thêm cả pizza nữa :”>
Highly recommend nha",5
13,13,chicken,"Mình chưa ăn bún chả ở đâu chán thế này :( thịt mỏng, mỡ, nước chấm thì không phải pha bằng dấm mà lại vắt chanh. Túm lại mình sẽ k bh order ở đây nữa.",2
14,14,chicken,"Đang ăn dở, tự nhiên nhớ ra review cho shop. Quán ngon thật.,đồ ăn còn nóng. Mình mở đầu review nên cho quán 10d :))",5
15,15,chicken,"K có j chê nhân viên và k gian quán, nhân viên lịch sự lễ phép, quán ăn vặt nên cũng nhỏ.
Tuy nhiên mình ăn súp gà thì bị cho nhiều bột năng quá nên nó siêu đặc, múc miếng đầu tiên đã thấy chán, súp cũng hơi mặn, trứng cút thì lòng đỏ rất nát. Mà 35k cho 1 bát súp + thanh cua thì mình thấy k xứng đáng. Bỏ từng đấy ra ăn 1 bát cháo sườn Cúc Đội Cấn còn hơn.
Mình gọi chè bưởi 0.5kg, trên menu ghi là đc 3 cốc nhưng nhân viên lại bảo là suất này chỉ được 2 cốc thôi nhưng bạn ý vẫn chia ra 3 cho mình. Lúc bê bát chè bưởi ra thì rất là đầy đặn, chả hiểu sao bạn ý bảo chỉ đc 2 bát.",3
16,16,chicken,"Mình đặt cơm đây chắc phải 3 tháng rồi, cũng hay nhiễu sự hoạch hoẹ nay không cơm mai đổi điểm ship, rồi món này k ăn món kia k thích, mà bạn bếp vẫn chiều :))) Highly recommend các cậu đóng họ ở đây!",5
17,17,chicken,"Cơm rang ngon, nhiều vị khác biệt, ship đi đựng trong hộp giấy cả hộp cơm & hộp canh, sạch sẽ, lịch sự. 
Nên thử tất cả các vị. Rất OK 👌🏻",5
18,18,chicken,Nay mua 2 cốc chè thái bưởi 2 chè thái sầu và 1 tàu hũ trân châu đường đen. Tàu hũ bị chua do bị thiu nhưng quán không kiểm tra vẫn giao cho khách,1
19,19,chicken,"Tự dưng hôm đó thèm chè quá chả lẽ ra tận Chick Garden để ăn 1 cóic chè Khoai dẻo, nên mình thử order đồ ship về nhà cho đỡ mất công đi lại..

❤️ Mình thấy chè khoai dẻo bán cùng chè sầu Liên thì ngày 1 nhiều k đếm xuể 😭 Mình cảm jac các loại chè cứ công nghiệp, k mgon lắm. Chè khoai dẻo thì gồm thạch sợi, quy linh cao vs những miếng khoai dẻo nhg mình ăn có miếng còn bị sượng cùng 1 hộp nc cốt dừa để chan bên trên 😂

❤️ Giá 1 suất chè là 28k hay 30k j đó nhé!",3
20,20,chicken,"Ăn 1 lần và không bao giờ ăn nữa. Đã góp ý với cửa hàng nhưng không tiếp thu. Chè gì mà ngọt quá mức, ăn tưởng say vì ngọt. Giờ toàn người béo mà cho ngọt thế thì ai mà ăn được chứ",1
21,21,chicken,Ăn ở đây thua xa chè sầu liên hàng cót ý ạ !!! Sâm dứa phô mai ở hàng cót ăn thơm ngậy phomai hơn đặc biệt cốt dừa rất ngon !!! Còn ở đây cốt dừa cảm giác vị ngọt từ đường quá rõ k đc thơm ngon như bên kia !!! Mình có cảm giác đây như fake ý !!! Bởi hệ thống chè cô liên hình như chỉ có 2 chỗ là hàng cót vs ngô quyền !!! Ăn ở ngô quyền vị giống hệt luôn,3
22,22,chicken,"Hôm nay mình vừa gọi 2 thái + 2 bưởi, mà chè bưởi mọi khi ăn chỉ có cốt dừa, hôm nay sáng tạo thêm ít trân châu hạt lựu ăn rất là không liên quan, hix. Đỗ trong chè bưởi còn hơi sượng nữa. Chè Thái thì vẫn ngon như bình thường.",2
23,23,chicken,"Nguyên liệu mọi thứ trong cửa hàng có vẻ nhà làm. Có thạch như khúc bạch, có khoai, bla bla. Nhưng thấy ít sầu riêng lắm, và đá mình muốn bào bé nữa, lúc cho vào ăn hơn lổn nhổn",5
24,24,chicken,bà chủ vô ý quá.mới khi với từ quê ra .hà nội mà .mua hai cốc chè sầu mà .bà chủ quên sù nó sầu riêng về ăn mà tức .phi mất 25km mới mua dc về ức thật,1
25,25,chicken,"Mình order 2 lần ở đây rồi, chè Sầu chuẩn Liên Đà Nẵng, ăn rất ngon. Chè bưởi cùi giòn, nước cốt dừa thanh ngậy không chê vào đâu được. Đáng giá 5*",5
26,26,chicken,"""Ăn một lần là nghiện luôn"". Đây là cảm nhận của bản thân mình về món chè Thái sầu riêng và sâm dứa pho mai của thương hiệu Chè sầu Liên Đà Nẵng. Cốt dừa ngậy ngậy, bùi bùi, sầu rất thơm, pho mai béo béo, sâm dứa thanh mát. Còn chè khoai dẻo và chè bưởi thì mình không có ấn tượng lắm, ăn cũng tạm ổn. Chất lượng thì khỏi chê rồi, giá cả 25k cho sâm dứa phô mai, 28k cho chè Thái sầu riêng nên khá là hợp lý. Mỗi tội quán này hơi nhỏ, và hơi tối nên mình chỉ mua về nhà ăn chứ không ăn tại quán. Chắc chắn sẽ còn quay lại nhiều lần vì quán ngay gần nhà 👍👍👍",3
27,27,chicken,Mình kiểu thích sầu riêng nên hay đi ăn chè sầu. Nói chung ăn cũng ngon ăn hệt như chỗ Trường Chinh chắc lấy chung một chỗ. Mỗi tội quán nhỏ lắm. Mình bảo ăn luôn ở đấy mà cứ ngại sao ý. À mà quán đóng cửa sớm cực ý. 8h mình qua đã thấy đóng rồi,2
28,28,chicken,"Mới tìm đc quán chè sầu liên này gần trường, 28k một bát to đùng thơm ngậy mùi sầu riêng và topping to ăn đã đời luôn huhu, chụp ảnh r nhưng quên k lưu :)))",3
29,29,chicken,Chưa lần nào ăn ở đây mà thất vọng cả,5
30,30,chicken,Trưa nay mình có gọi 2 phần về ăn trưa Bento Lươn nhật nướng cơm khá nhão lươn thì cứng ko còn nóng nữa ăn hơi tanh. Set cá hồi- cá trích- trứng ép thì tạm được nhưng cá hồi không được tươi lắm 😑 giá cả so với chất lượng đồ ăn thì ok phần canh đi kèm vị vừa miệng khá ngon. Nói chung là tạm ổn.,3
31,31,chicken,"Sushi Garden – 46***
Mê đồ ăn ở đây thực sự ấy, dù ăn tại quán hay gọi ship chất lượng cũng đều tốt như nhau. Giá cả lại rẻ phù hợp với chất lượng. Quán nằm ngay mặt đường nên không khó tìm, tuy nhiên không gian quán thì không được đẹp cho lắm, được cái bàn ghế các thứ cũng sạch sẽ.
Bánh xèo Nhật là món mình luôn gọi mỗi khi đến đây, bánh ngon và rất thơm. Các loại kimpap cũng khá ok, cơm dẻo, không bị nát, cuộn chắc tay, nhân đầy đặn. Nói chung là ăn khá ổn!",3
32,32,chicken,"Mik ăn nhiều lần ở đây ngon, giá cả hợp lý không gian thoải mái, phục vụ chứ đáo",5
33,33,chicken,Mình có order 1 ở đây sushi thanh cua. Khi mở ra ăn thì thấy còn nguyên bọc nilon ở ngoài. K hiểu nhà hàng này làm ăn kiểu gì. Quá thất vọng,1
34,34,chicken,Đồ ăn tươi ngon. Đây là nhà hàng sushi mà tôi ưa chuộng nhất. Rất là đáng đồng tiền! Mình sẽ tiếp tục ủng hộ nhà hàng nữa^^,5
35,35,chicken,"Đã ăn rất nhiều quán Nhật, nhg Sushi Garden mình đánh giá kém nhất. Cơm nhão nên hơi khó ăn. Đồ ăn cảm giác nhạt nhẽo ko có vị dù đang rất đói.",1
36,36,chicken,"Lần đầu đi ăn ở đây ncl cx khá ổn. Mình đi 6ng gọi 1 set S4 j đó gồm cx khá nhiều đồ nhg ăn chưa phải là no căng bụng. Đồ ăn ko quá tệ, có món gà rán hơi mặn chút. Tất thảy 6ng cả nước uống 2 chai bia 2 chai lavie là 90k/người. Ko gian ko được đẹp cho lắm, hơi xập xệ nhg với giá cả và pvu như này thì phù hợp svien học sinh tụ họp ăn uống. Vị trí ngay mặt đường Vũ Trọng Phụng nên rất dễ tìm",3
37,37,chicken,"Vị trí: X
Không gian: X
Dịch vụ: Gọi ship của Now, giao hàng nhanh.
Đồ ăn: Có 1 đợt rất hay ăn cá hồi, kiểu hẹn hò thêm 1 chút vang trắng thì thực toẹt vời. Vậy nên sang nhà còn bạn thân và than vãn với nó nên được nó mua cho đây. Cảm nhận chung đồ ở đây khá ngon, sạch sẽ, giá ổn (mặc dù không ngon được bằng chỗ khác mình ăn nhưng cũng ổn). 1 miếng rong biển, miếng cá hồi, thêm ít tía tô và gừng hồng, cộng thêm 1 chút wasabi cho vị cay thì thực sự cảm thấy oà, chân ái là đây chứ đâu nữa :3",4
38,38,chicken,Mình đã đi ăn sushi ở rất nhiều quán khác nhau. Nhưng mình thấy sushi ở đây ngon tuyệt vời nhất. Nhân viên phục vụ nhiệt tình chu đáo. Không gian tuy không được rộng nhưng rất thoáng và mát mẻ. Sẽ luôn tin tưởng và ủng hộ nhà hàng ❤️❤️❤️,5
39,39,chicken,"Đồ ăn tươi ngon. Nhân viên nhiệt tình. Phòng hơi nhỏ nhưng mát mẻ, thoải mái và sạch sẽ . Mình và bạn bè sẽ đến đây ăn nhiều hơn 😍😍",5
40,40,chicken,"Mình đã ăn ở rất nhiều quán sushi nhưng mình rất ấn tượng với Sushi Garden tại 46 Vũ Trọng Phụng. Nhân viên nhiệt tình, năng động ,tư vấn có tâm. Đồ ăn tươi ngon không chê vào đâu được 💓💓",5
41,41,chicken,"Mình đến gọi đồ, đợi gần tiếng đồng hồ mãi không lên món. Ngồi uống gần hết lon nước cũng không thấy nhân viên nói gì. Khách bàn khác đến sau thì ăn gần xong trước đi về. Combo shushi không được tươi lắm. Cơm nátt, do cho nhiều dấm quá. Bát nước chấm thì có mỗi sốt chấm maione còn k có xì dầu luôn. Nhân viên phục vụ kém, quên ko mang gừng với mù tạt. Ra hỏi mới mang ra!!!",1
42,42,chicken,"Vào trước đợi 1 tiếng đồng hồ, uống hết cả lon nước vẫn chưa thấy đồ ra, khách vào sau được phục vụ đồ lên luôn",1
43,43,chicken,"Cơm bento là lựa chọn thường xuyên cho những ngày home alone hehe.
Mình order cơm bento thăn lợn chiên xù, đầy đủ cơm, salad, thịt lợn chiên xù, đậu lông, cà ri ăn vừa miệng và vừa bụng.
Cơm ở đây mình k thấy chê điểm gì vì rất ngon, các loại cơm bento đều ngon nhé, ăn cùng cà ri rất hợp miệng. Salad bắp cải trứng cua sốt cũng ngon luôn.
Rất đáng thử nhé
Giá cả khá ổn từ 65-100k cho một suất cơm bento, nhiều hôm có code giảm giá nữa tính ra rẻ lắm ạ",4
44,44,chicken,"Đồ ăn lên lâu, nhìn không được tươi, khăn trải bàn bẩn. 
Đồ ăn không được ngon, canh hơi mặn",2
45,45,chicken,"Mình order mấy món cơm cuộn, soup, bánh xèo. Món nào cũng mặn. Mù tạt cho có chút xíu mà ko hề cay tẹo nào. Cơm cuộn cá hồi cũng ko tươi.",2
46,46,chicken,"làm ngon, giá cả phải chăng, ăn ở đây nhiều lần rồi cảm thấy phục vụ rất tốt, tận tình. Cũng có lần ship nhầm món cho mình, khi mình nhắn tin hỏi thì thì nhân viên trả lời rất lịch sự. 
Vị trí ở mặt đường dễ tìm, rộng rãi, có chỗ để xe, có cả thang máy để đi. sẽ còn ủng nhà hàng nhiều",4
47,47,chicken,"Phục vụ: rất tốt, lễ phép, nhẹ nhàng, niềm nở.
Đồ ăn: rất ngon, đặc biệt ấn tượng với sashimi và bánh xèo, các món khác mình đều rất vừa miệng, đồ ăn lên cũng nhanh không quá lâu.
Giá: rất phải chăng",5
48,48,chicken,"Đi hội chợ gặp hàng Sushi garden, m gọi thử sushi cuộn thanh cua 20k/cuộn nhỏ xíu, và không hài lòng tí nào.
Chất lượng quá tệ, vị rất nhạt, khô và cứng, cố mãi mới nuốt hết :((.",2
49,49,chicken,"Bọn mình lĩnh lương xong là kéo nhau ra đây ăn. Mình ăn sushi nói chung là cũng linh động hàng quán chứ không phải cố định ăn sushi ở 1 chỗ. Đây thì là lần đầu thử ở sushi garden. Có 1 cơ sở ở Nam Đồng chắc là mới quá chưa có ai review nên thôi không đi, đi cơ sở ở Vũ Trọng Phụng hơi xa nhà chút. Mình có gọi 2 set kia và 1 đĩa mực chiên xù. 1 set là khay Sushi Garden 4 là 210k, là khay tròn. Còn đĩa màu đen là set gunkan tổng hợp 90k. Mà set đó có mấy miếng kiểu nhân rau củ ăn không ngon lắm. Sushi ở đây cũng ok, phê nhất vẫn đơn giản chỉ là miếng cơm cùng lát cá hồi. Không gian nhỏ, bí.",3
50,50,chicken,"Đồ ăn ngon, không gian thoáng. Có các set ăn rất phù hợp và đầy đủ. Giá cả rất hợp lí. Các bạn nhân viên rất nhiệt tình. Bữa đi ăn còn được tặng vocher giảm giá 20% cho hoá đơn lần sau nữa chứ. Rất thích sẽ ủng hộ quán dài dài",5
51,51,chicken,Sushi vừa cứng vừa lạnh miếng cá thì mỏng dính đọc review thấy khen nức nở nên ship về ăn thử ai ngờ dở ơi là dở cơm cuộn toàn dưa chuột với cà rốt thanh cua thì bé bằng móng tay út rã cả ra cơm thì lại gạo không nhai được cá thì hôi rình may quá ăn mà chưa bị đi ngoài :)),1
52,52,chicken,"Minh nghĩ đồ ăn ok,rất hợp với gia đình nhà mình.",5
