,Unnamed: 0,category,text,star
0,0,desserts,"Mình đặt Trà sữa trân châu Đường hổ 100% đường nhưng nhạt toẹt. Mô tả thì ghi dành cho tín đồ hảo ngọt mà thực sự uống ko ra gì. Phát trầm cảm, thà uống nước lọc còn hơn.",1
1,1,desserts,"Vâng thấy nhiều người bảo uống toco thì cứ 3 AE mà uống nên mình gọi về 2 cốc
Nhận xét thấy ổn lượng đá và trà vừa phải nên ko bị mất vị của trà vs lại mình đc mã giảm giâ nên chỉ mất có 30k cả 2 cốc 😍😍
Sẽ quay lại",4
2,2,desserts,"Chị bán hàng phục vụ nhiệt tình lại còn luôn vui vẻ với khách hàng . Mỗi sáng mình hay ghé qua làm 1 chai sữa đậu nành hoặc nước đỗ đen với khoảng chục cái quẩy nóng, vậy là bữa sáng ngon lành, no nê ,bữa nào không ăn thấy nhớ phết.",5
3,3,desserts,"Mình bị nghiện món này nên hôm nào dù nhà xa vẫn phải ghé qua mới khổ, lúc trước thấy quán nhìn khang trang sạch sẽ tưởng mắc ai ngờ vừa rẻ mà còn vừa miệng. Thích lắm ạ , mà nghe nói quán mở thêm chi nhánh ở Khâm Thiên thì tiện cho mình quá vì gần nhà",5
4,4,desserts,"Mình thỉnh thoảng thèm hay ghé quán mua mấy chục cái quẩy về ăn với mấy đứa em, quẩy ngon mà giá lại rẻ, nhìn cửa hàng cũng rất sạch sẽ nữa. Nay biết quán mở thêm chi nhánh bên khâm thiên, sẽ giới thiệu người quen cho cửa hàng",5
5,5,desserts,"Quán nay đông người bán nên bán hàng rất nhanh dù đông nhưng không sợ chờ lâu. Quán bán sạch sẽ, quẩy rán vừa nóng ăn rất ngon, không bị để lâu, mình thấy bán tới đâu rán tới đó vậy sẽ giữ được hương vị thơm ngon của quẩy. À thấy quán đăng có chi nhánh mới bên đống đa ai ở gần nên ăn thử, chắc chắn ghiền",5
6,6,desserts,"Quán bán lúc nào cũng thấy đông khách hết, nay có thêm chi nhánh mới đỡ phải đợi lâu rồi. Bánh mua ở quán lúc nào cũng nóng hỏi thơm ngon. Cô chủ rất dễ thương",5
7,7,desserts,"Mừng xỉu, nghe tin quán có chi nhánh mới lại gần nhà nay không cần phải đi xa như trước nữa. Công ty mình rất hay đặt bên đây ăn, quẩy nóng giòn ăn rất ngon. Chúc cửa hàng ngày càng đông khách",5
8,8,desserts,"Cứ cuối tuần lại ghé ăn lần và vẫn ngon như mọi lần. Đúng ngon từ chất thật từ tâm, món nào cũng ngon nhưng em vẫn luôn ăn bánh quẩy kèm với sữa đậu nành",5
9,9,desserts,"Vì công ty mình ở ngay gần quán nên thường đi bộ ra đây mua, có hôm đc nghỉ ở nhà thèm quá thử tìm trên foody xem có giao hàng từ quán này ko thì thấy cũng có luôn thế là lại đặt về nhà ăn. Một món ăn chơi chơi nhưng ngon nên sẽ tiếp tục ủng hộ dài dài. Cái này chỉ mua về ăn thôi nha các bạn chứ ko có hàng quán gì để tới ăn đâu ạ",5
10,10,desserts,Tôi ghiền quẩy đùi gà nên tuần nào cũng phải ghé hết. Lần nào qua cũng thấy quán đông khách. Lúc quán quá đông đôi khi chờ đợi thêm một tí nhưng mà chất lượng vẫn vậy không có bị thay đổi. Cám ơn quán Ngọc Linh nhé!,3
11,11,desserts,Cửa hàng phục vụ nhiệt tình vui vẻ với khách. Giá cả tôi thấy khá rẻ. Không gian quán sạch sẽ sáng sủa trang trí đẹp nhẹ nhàng. Nói chung là sẽ quay lại tiếp,5
12,12,desserts,"Tôi chạy ngang thì thấy quán quẩy đùi gà nên vào mua ăn thử. Gọi hai chục quẩy với 3 chai sữa. Quẩy và sữa ngon, tôi thấy giá ở quán oke đó. Quán này phục vụ tốt, làm nhanh, chị chủ nhiệt tình và thân thiện.",5
13,13,desserts,Tình cờ đi ngang qua đây kiếm quán gì đó để mua đồ ăn vặt. Thấy quán nhìn sáng sủa nhỏ nhắn xinh xinh. Ai ngờ quẩy đùi gà và nước uống cái nào cũng ngon mà giá lại rẻ. Sẽ còn đến nữa,5
14,14,desserts,"Tối chủ nhật mình và bạn trai hay đến đây mua quẩy ăn, giá quẩy ở đây cũng rẻ. Nhiều món nước ăn kèm nữa. Rất thơm và ngon. Sẽ giới thiệu cho bạn bè đến đây nữa",5
15,15,desserts,"Sáng nào cũng ghé qua quán quẩy đùi gà cũng để mua quẩy đùi gà mang đi vô công ty ăn với mấy đứa đồng nghiệp. Quẩy đùi gà rất ngon, nước đỗ đen nấu rất thơm ạ. Quán làm ngon mà rẻ nên lên đây bình luận cho quán nè",5
16,16,desserts,Quán quẩy đùi gà này mình thấy bán ngon thật ý. Hôm trước có mua về cho người nhà cùng ăn. Đúng là thơm thơm vừa vị không ngấy dầu như kiểu mấy người bán rong.,5
17,17,desserts,Ở Ngọc Linh quẩy đùi gà rán rất ngon. Mình thích nhất là quẩy đùi gà của quán. Nước uống ngọt ngọt mát mát không quá ngọt cũng không quá nhạt.,5
18,18,desserts,Hôm thứ 2 tui đến đây để mua quẩy và nước. Công nhận là đang thèm cái quất 1 chục cái ăn đã gì đâu á. Khuyến khích nên đến thử,5
19,19,desserts,"Nhìn menu trên foody thấy có nhiều món nước ngon ăn kèm quẩy, biết trời nắng là triển đặt now liền. Đồ uống pha chế ngon, cực nhiều, quẩy đùi gà ăn rất ngon, cảm giác quẩy như mới rán luôn, thơm ngon",5
20,20,desserts,"Nước uống ở đây nấu ngon, uống là ghiền luôn. Lần nào đến quán quẩy đùi gà trên đường về mình cũng phải ghé mua ở đây. Quán phục vụ nhanh, nhiệt tình",5
21,21,desserts,Mỗi khi đến đây mua quẩy đùi gà thì tôi thường gọi vài chục cái quẩy và 1 chai nước. Quả thực ăn chung nó phê lắm. Nói chung tuyệt vời so với tầm giá,5
22,22,desserts,Mọi người ai đã đến rồi thì khỏi bàn hén. Còn ai chưa đến thì tranh thủ phóng ngay đến quán quẩy đùi gà Ngọc Linh ngay và liền để còn trở thành đứa nghiện quẩy đùi gà giống mình nha,5
