,Unnamed: 0,category,text,star
0,0,drink,"Mình bị nghiện rau má mấy tháng nay luôn, vị khoai môn sữa dừa và vị bơ là ngon nhất đối với mình. Nói chung vị nào mình cũng thấy ngon. Ngày nào cũng mua 2 cốc uống 😝",5
1,1,drink,"- Quán nước ép - giải khát nằm ngay trên phố Hai Bà, đối diện hàng Chả Cá Ân Ngư nha! Trước cửa quán có cây đa. Mà đến ban tối thì thấy cây đa đc trang trí đèn quấn, nhìn rất bắt mắt luôn nhé!

- Quán có cả trong nhà lẫn ngoài vỉa hè, nhưng bminh ngồi ngoài vỉa hè cho mát 😁

- Ở đây rất đông khách, nên chủ yếu tự phục vụ thì đúng hơn, gọi gì thì ghi order ra giấy xong đưa ngta làm đồ. Lấy giấy ăn cũng tự đứng lên mà lấy cho nhanh í )))

- Đồ uống ở đây chủ yếu là đồ sinh tố, nước ép nguyên chất. Menu dài nên tha hồ mix các loại quả ép với nhau nhaa!
Cminh gọi Bưởi ép này, Dứa ép này,.. với Sinh tố mãng cầu gì đó,.. Vì đồ uống đều k đường, nên cảm giác rất tươi và mát 😍

- Đồ uống k đắt đâu, giá chỉ 35-40k thui ạ!",3
2,2,drink,Có vị trà,3
3,3,drink,Bth,3
4,4,drink,"Menu tháng 10 này Gongcha có món trà đen creme brulee được recommend nhiều nhất. Mình cũng ham hố đi uống thử cho khỏi tụt hậu với thiên hạ 😎

Điểm trừ đầu tiên là không được giảm đá, vâng, thời tiết mùa thu với những cơn gió heo may se se lạnh mà phải ực ly trà siêu nhiều đá khiến cổ họng lạnh toát 😥

Điểm trừ thứ hai là lớp đường nâu phía trên không được khò kỹ, nhấp lớp kem mặn vẫn thấy lạo xạo, cảm giác rất vô duyên - cái này mình nghĩ do sơ xuất của nhân viên pha chế

Điểm trừ lớn nhất là gọi ngọt vừa mà vẫn ngọt lừ dù chừng này đá, khiến cho tổng thể ly trà không thấy vị thanh, uống rất nhanh ngán 😩

Không gian ở cơ sở***vẫn khá ổn, không phải bon chen như những ngày đầu khai trương, bàn ghế sạch đẹp dù không quá rộng. Cũng phải 2 năm rồi không uống Gongcha, nhưng lần này fail quá huhu 🙄",3
5,5,drink,"Quán 1 tầng. Có bật nhạc. Gọi trà alishan kem sữa, vị giống trà đá.

Trà sữa bây giờ càng ngày càng hot phải không mọi người, như một số bạn nói là ""Nhà nhà uống trà sữa, người người uống trà sữa"" :))
Fan của trà sữa cùng mình chia sẻ thương hiệu trà sữa ngon nhé. Với mình hình như GongCha luôn chiếm ưu thế, ko chê vào đâu được, mê đắm luôn. Mình rất hay gọi trà alisan kem sữa nhé..ai có cùng sở thích với mình không. 
Dạo facebook thấy bạn bè review nhiều cũng tập tành viết chia sẻ địa điểm ăn uống ngon và tốt.
Cá nhân mình rất thích Gongcha đặc biệt là 56*** làm đồ nhanh và chuẩn, ko phải chờ đợi nhiều. Nhân viên năng động nhiệt tình còn tốt bụng nữa.
Mặc dù trà sữa ở đây đắt nhưng đắt đúng với thương hiệu và dư vị mà nó mang lại các bạn a. Uống 1 lần rồi lại 1 lần, cảm giác như bị thích và bị nghiện ấy.
Mình còn biết quán này nhận ship đồ, bạn nào chưa có dịp tới quán thì gọi điện thử nha.",3
6,6,drink,"Cũng khá lâu mới quay lại đây ngồi, nhân tiện qua khu này thì ghé vào chơi. Không gian vẫn vậy chả có gì thay đổi, chỉ có là khách vắng hơn xưa không còn sợ hết bàn nữa. Lựa chỗ cạnh gương nhâm nhi ly trà mát rượi người.
Hóa ra ngoài alisan thì trà xoài nhà gong cũng được quá chứ, uống 1 ngụm đã thấy thơm ngon, so với số 1 share tea thì gong hẳn cũng là số 2 đi :) sốt xoài thơm cực nhai nhai cùng trân châu vui miệng. Giá thì cũng tầm sêm sêm nhau vậy.",3
7,7,drink,"- Về vị trí: Nằm ở ngay mặt đường*** vô cùng dễ tìm 😍

- Về không gian: Tuy diện tích không quá lớn nhưng được decor tông trắng siêu xinh và còn có nhiều đồ trang trí xinh xắn đáng yêu như con cú trong ảnh nè 😊

- Về đồ uống: Menu siêu đa dạng, từ các món trà sữa trân châu truyền thống đến các loại trà hoa quả,... Mình thích nhất là trà sữa xoài và matcha kem sữa, trà sữa xoàii có cả xoài thật luôn vị xoài chua chua kết hợp với trân châu dẻo dai ngọt ngọt siêu ngon. 

- Về giá cả: khoảng 40-60k tuỳ vị và topping 😍",5
8,8,drink,"Lâu lắm mới thấy gongcha mở cửa :3 Giảng võ bu đông quá nên gọi hẳn quán xa hơn cho bõ thèm. 

Gongcha đúng là ko làm mình thất vọng :3
Dù xa nhưng ship nhanh lắm, lát là đã có đồ uống rồi. Trà sữa xoài rất ngon và ngọt ngào, rất bõ công chờ đợi.

Quán mình suýt từng định vào một lần nhưng hôm đó quán hỏng nhà vệ sinh nên lỡ hẹn hôm đó.

Cốc này gọi là đã có trân châu rồi nên giá cả hợp lý :3 mình mua mã 50k giá 25k trên shoppee nên sau giảm mình thấy phù hợp với chất lượng.

Sẽ còn gọi nữa :3",4
9,9,drink,"Quán không gian hơi nhỏ nhưng khá nhiều bàn gần ổ cắm nên thích hợp cho mọi người đến học và làm việc. Quán chỉ bật nhạc không lời, rất tốt cho việc học của mình. Nhà vệ sinh rất sạch sẽ và đầy đủ giấy, nước rửa tay.",4
10,10,drink,"Gongcha.
Đồ uống ở đây mình có thử Trà Xanh Gong Cha và Strawberry oreo smoothie. Đồ uống ngon. Giá thành ok. Dùng ống hút có thể phân hủy. Uống nên gọi 50 đường 50 đá là vừa vị nha mọi nguuời. Mình hay gọi thêm trân châu trắng ăn giòn giòn. Trân châu đen hơi bé. Ngoài ra quán có chanh aiyu cũng nên thử. Có hôm mình gọi trà sữa xoài cũng ok. Trong đấy có ssẵn trân châu đen. Và hình như có cả mứt xòai. Uống rất lạ miệng
Quán khá rộng. Đi vào trưa trưa thấy cũng khá yên tĩnh. Mình nghĩ ngồi chơi chơi thì ok còn để học bài thì đây chưa phải nơi lý tưởng. Còn mình hay mua take away. Nhân viên rất nice. Phục vụ rất ok. Mình mua các bạn chủ động tách bill cho mình. Thái độ phục vụ lịch sự
Quán sạch sẽ nvien tốt. Sẽ ghé nhiều nhiều lần. 
9/10 đ theo mình uống",5
11,11,drink,"Đang viêm họng nên mình gọi thử trà nóng. Lần đầu uống trà sữa nóng và khá là kết hình thức em cốc của gong cha. Dòng kem sữa uống nóng hợp cực luôn. Mình gọi vị alisan kem sữa, trà thơm nhẹ, uống nóng vs kem sữa ngon. 
Loại cốc uống nóng có nắp mở rời dc uống dòng này quá hợp luôn. Trong hình là cốc size M nhé, to như trà lạnh. Có điều vs mình earl grey kem sữa thơm hơn rất nhiều so vs alisan nổi tiếng. Đề cử mn đổi vị uống thử xem.
À gong cha cơ sở này để điều hoà hơi lạnh, mùa đông rồi mà ngồi cứ thấy gió thổi se se huhu
#reviewnow",5
12,12,drink,"Lâu lâu không uống thấy có nhiều món mới quá nên cũng order thử xem sao:
- Thiết***nếp cẩm: topping cố định gồm nếp cẩm, đậu đỏ, thạch đen. Thực sự mình thấy uống trà sữa với nếp cẩm k phải là 1 ý hay vì trà đã ngọt rồi sẽ không làm nổi bật được vị thơm bùi của nếp cẩm được, chỉ có tác dụng nhai cho vui miệng thôi. Tóm lại trà sữa thì có trân châu mà nếp cẩm thì có sữa chua là tối nhất.
- latte okinawa: uống cũng k có gì đặc sắc ngoại từ việc quá ư là ngọt do không thể điều chỉnh lượng đường cũng như thêm topping, hơi bị khó hiểu.",3
