,Unnamed: 0,category,text,star
0,0,food,"được nhưng bứ bột quá , ăn xong nóng chảy mồ hôi 🥵🥵🥵",3
1,1,food,"cực kì thất vọng. lần trước mình đến quán ăn thấy khá ổn, hôm nay mình đặt ship mua 3 bánh gà và 5 nem chua rán. về đến nhà thì nem rán có mùi ôi k thể ăn đc, bánh gà thì bị ngấm rất nhiều dầu mỡ, cầm miếng bánh gà mà nhìn ôi chao nó như 1 cục bông gòn thấm bnhiu nước mỡ và có mùi chua. tổng hoá đơn trừ mã freeship ra là còn 50k, số tiền tuy k nhiều nhưng quán làm mình thực sự thất vọng về chất lượng món ăn.
tổng kết: sẽ không bao giờ mua ủng hộ quán nữa",1
2,2,food,"Vỏ bánh giòn, nhân bình thường, ko ngon bằng gà kfc luôn ý :))). Nói chung là chắc k bao giờ mua lại",2
3,3,food,Mình mua 6 bánh gà + 2phomai + 2 nem chua nhưng cầm về chỉ có 4 bánh gà 😡😡,2
4,4,food,"Mình ăn thì thấy cũng bình thường, k có gì nổi bật lắm. Đọc rv thấy mọi người bảo bánh ở đây có vị cari nữa nhg mình k thấy coa vị cari lắm 😂😂
Nhg đóng gói sạch sẽ, bánh to, giá cả hợp lý, ship đến nơi bánh vẫn nóng giòn ạ",5
5,5,food,"lần đầu đặt bánh ở đây, bánh gà khá rẻ và ngon. cánh gà thì hơi nhiều bột. Nói chung chất lượng đáng tiền",4
6,6,food,"Mình order khá nhiều lần đồ của quán. Món ruột của mình là mỳ ý và bánh gà nên mình chỉ nhận xét về 2 món này thôi. 
+ Mỳ ý: ngày càng ít sốt. Lần đầu mình ăn mình cực kỳ ưng vì nhiều sốt, ăn xong mỳ vẫn còn lại ít sốt cơ. Mấy lần sau thì sốt ở mức độ vừa ăn đủ ăn không thừa không thiếu. Nhưng lần này mình ăn không phải là thịt sốt cà chua nữa mà là thịt xào trộn vào mỳ rồi đổ tương cà lên và còn cực ít nữa. 
+ Bánh gà: vỏ bánh ngày càng dày theo thời gian. Lần này mình ăn bị ngấy và không còn cảm giác ngon như trước. 
Vì là quán ruột nên mình khá thất vọng về lần đặt đồ lần này.",2
7,7,food,"Ngày trước ăn bánh gà cảm thấy khá nhiều thịt gà xay bên trong,cắn phát nào cảm thấy vị ngọt thịt phát đó. Bây giờ ăn toàn thấy bột là nhiều ít thịt, k còn đậm vị ngọt thịt như trước",2
8,8,food,"Bánh gà chỗ này chắc k chỗ nào ngon bằng rồi :)) phô mai que cũng rẻ hơn các chỗ khác có 6k/c
Mình chỉ góp ý là mong quán ra thêm nhiều loại nước mới chứ có mỗi 2 loại uống chán, giá cũng chát",5
9,9,food,"Ăn cũng ngon mà mỗi tội đến ăn k muốn uống nước khó hơn đi thỉnh kinh, lúc đầu tưởng ngồi hàng ghế đỏ trên đầu thì trốn được mấy cô + bà bán nước nhưng k, đôi mắt 10/10 của các cô (bà) bán nước vẫn túm được, k uống thì đuổi k cho ăn, đúng kiểu m k thoát được đâu con trai tu bi k từn iu haizzz, mn đến tốt nhất nên mua mang về nhé :<",3
10,10,food,"Ăn ở đây khá nhiều mà giờ mới có dịp review... trước mua có 4k mà giờ 5k lận 
Mình đã từng thử những chỗ bánh gà khác, có chỗ thì ngon mà xẹp lép, có chỗ ăn bị gà mà chả thấy gà đâu... Còn ở đây thì ngon nhất, mỗi tội thỉnh thoảng gọi ship cho mỗi tương ớt mà mình lại k ăn dc cay 🤣🤣 sẽ ủng hộ quán dài dài..",4
11,11,food,"- cuối cùng cx đc thẩm bánh gà thần thánh rồi🤪 1 bánh gà ở đây ngon, cay vì cho gừng vào trong hay sao ấy. Mà nó cũng khá là to nữa.Ăn trời lạnh thì tuyệt vô cùng😍😝",4
12,12,food,"Hôm nay , mình có đặt 6 cái bánh gà tại quán. Đây là lần thứ hai bị quán giao thiếu mất 1 cái y hệt như lần trước nên mình phải review lên đây !!! Lần đầu mình nghĩ do nhầm lẫn mình bỏ qua nhưng lần thứ hai thì không chấp nhận được. Dù chả đáng bao nhiêu nhưng mong quán sẽ bán thật làm đúng không xảy ra vơi khách khác như vậy nữa!!!",1
13,13,food,"Trc khi đến quán mìh fai đọc rv mng và đã biết điều gọi 1 cốc nước để tránh bị xéo xắc lúc ăn 🤣 
Khen trước lấy tinh thần. Phần bánh nóng hổi vừa ra lò, thơm nức mũi. Vỏ giòn tan, có cảm giác ngọt ngọt bùi bùi của bột khoai nhưng mình k chắc lắm. Thật sự nên ăn trực tiếp ngay khi vừa ra lò thế này để cảm đc hết vị ngon của bánh. Tuy nhiên mình chắc chắn sẽ kbh đến ăn lần 2. Vì thật sự thái độ cô bán nước và cô (kb gọi là j, mình thấy đứng mời khách vào quán bánh) không thân thiện lắm.
Chuyện là có 1 nhóm các em tầm hs tới ăn nhưng k gọi nước. Thế là bị xéo xắc suốt từ lúc gọi đồ đến lúc lên xe ra về. Hết bảo bỏ chân xuống thành k gãy ghế, vừa ăn xong dứt mồm thì bị đuổi đứng lên để ng khác vào ăn (trong khi k có khách nào đang đứng chờ). Xong các em đứng ra đầu ngõ chưa lấy xe thì bị đuổi đi, hùng hổ đi ra bắt lấy xe đi luôn k cho đứng nán lại. Chưa kể còn nh lần nói móc lúc đi qua đi lại nữa.
Nói chung là thái độ cư xử vs khách k đúng mực. Tốt nhất là chỉ nên gọi ship thôi.",2
14,14,food,"Vào hàng ăn bánh gà mà phải gọi nước mới được mới đc phục vụ tử tế ?????
Mình vào ăn bánh gà mà ko gọi nước thế là thái độ của bà phục vụ như muốn đuổi mình đi. Bà ấy chửi mình, tỏ thái độ ghét bọn mình không thèm phục vụ luôn. Thậm chí đến cái chỗ ngồi cx ko cho luôn chỉ vì mình ko gọi nước :))) 
Chất lượng đồ ăn thì ko phải nói r nhưng cái thái độ đấy thì ăn cx chẳng nuốt trôi. Nếu thái độ phục vụ ko thay đổi thì có lẽ mình sẽ ko bao h ăn ở đó nx",1
15,15,food,"Mình oder lúc 12h trưa nay, ăn xong phát hiện trong hộp bánh bị như kiểu có gì ăn mòn, để ý kĩ có 1 con dòi bên trong. Yêu cầu bên cửa hàng phản hồi lại !!!",1
16,16,food,"Đây chắc là ông tổ của món này :)) từ Hồng Mai mà món bánh gà được lưu truyền rộng rãi :)) mình ăn ở đây được 2 3 lần nhưng toàn mua mang về. Mới được ăn 1 lần tại quán vì quá xa. 

Quán vỉa hè thôi nên cx chỉ ngồi tự do xung quanh cô bán hàng rồi kê ghế làm bàn. Nhưng nghe mấy vụ đỗ xe bị xích lên phường nên ăn cũng nơm nớp lo nhưng may là số mình vẫn còn dc đi xe :))

Bây giờ bánh ko còn ngon như trước chắc do đông nên cx làm công nghiệp hơn, lớp vỏ ngoài hơi giòn quá ko mềm tan như trước, bánh cũng thấm dầu hơn do đông quá mà ko kịp để ráo dầu nên ăn 2-3 cái là thấy ngấy rồi. Nem chua ăn cũng ổn, cũng bị ngấm dầu, điểm cộng khi ăn tại quán là ăn khi các món còn đang nóng nên đỡ ngấy hơn đôi chút. 👌🏻👌🏻

✅ 6/10",3
17,17,food,"Lâu lắm rồi mình mới quay lại ăn, và thật tệ là giờ bánh gà có quá nhiều lớp bột thừa thãi bên ngoài và ít gà bên trong, thôi thì có lẽ do không đổi giá và họ mới cải tiến thêm công thức mới chăng ?
Cô hàng nước thì buồn cười quá đi, mình ngồi ăn thôi mà mình phải nghe tiếng cô nói tục suốt, còn chửi cả bác gái cao tuổi làm thuê 🤔
Một ký ức kinh hoàng nữa là bọn mình đang ăn thì công an phường đến bê hết xe đi không thì sẽ thu bằng lái và đăng ký e và khi về phường bọn mình phải đưa tiền ( tùy tâm ) để chuộc lại và tiền thì vào thẳng túi quần chứ chả có biên lai nộp phạt gì cả hí hí chúc mấy chú pô lít phường có một bữa nhậu tối nay thật thịnh soạn 🤪
Xong bà cô hàng nước - người đã dẫn tụi mình để xe để xe ở đấy lại bắt đầu chửi "" t có chỉ đâu chúng mày tự để, lần sau khách đến ăn cứ đi hết ra ngoài đường mà gửi "". Ahihi ngầu lắm ạ thử xem không có ai ăn bánh gà thì cô bán nước cho ai nhé 🤫",1
18,18,food,"Vỏ bánh gà rất dày, cắn sâu vào trg vẫn chưa thấy gà",1
