,Unnamed: 0,category,text,star
0,0,home made,"Bánh ở đây vỏ mỏng
Kem ngậy
Sầu riêng ở đây cấp đông và hơi nhạt huhu
Người hảo ngọt thì sẽ thấy bánh ở đây nhạt nhé",4
1,1,home made,"Bánh ngon lắm luôn ấy ạ. Vỏ bánh thơm và mềm, kem vừa miệng, có miếng xoài ngọt ngọt ăn thích lắm. Nói chung là ngon và rất ổn luôn ạ :3 sẽ order khi nào thèm tiếp hị :3",5
2,2,home made,"Vâng ạ. Chân vịt còn chưa cả bóc màng mà vẫn để làm cho khách ăn... chẳng hiểu cửa hàng nghĩ gì??? 1* và không bao h quay lại
Thêm 1 ảnh về chân gà. Nhìn như kiểu bị bệnh ý có những vết gì gì ở chân. Mình cảm thấy đáng lo ngại về vấn đề vệ sinh an toàn thực phẩm...",1
3,3,home made,"Mình gọi chân gà và chân vịt rút xương
Chân vịt thì thấy hình như mỗi ở đây có, chân vịt bé nên ăn không đã nhưng giá khá rẻ , chân gà tròn mập, ăn ngon 
Sả và ớt cho hơi nhiều",3
4,4,home made,"Ăn cũng đc. Đợi mãi chưa thấy đau bụng. Quán nhiều review tệ nhưng chắc cũng ổn. Q bảo có vị như vừa để tủ lạnh ra. Qua giảm giá của foody còn 51k, cả ship. Nc mắm bắn hơi tung toé ra ngoài. 

Đây là lần thứ 3 mình order quán rồi, chụp ảnh thì ko được đẹp lắm nhưng chất lượng có thể đảm bảo.
Chân gà to giòn, nước chấm rất vừa vị. Bạn nào thích ăn cay thì có thể nhắn tin lên page quán yêu cầu sau khi đã lên đơn now (Nếu được quán cho thêm 1 túi ớt ngâm kèm theo thì tiện hơn)
Túi xoài mix kèm set thì nó bé hơn tưởng tượng của mình 😂😂 Tuy nhiên ăn kèm cũng được.
Một món nữa rất đáng thử ở quán là heo khô vị bò, phải gọi là best luôn. Thịt dc tẩm ướp ngon, cay vừa phải và không bị khô cứng quá.
Nói chung ngôn từ mình hạn hẹp ko miêu tả hết được :)) các bạn cứ order 1 lần cho biết. Quán đang sale 30% rồi áp thêm mã giảm giá của now nữa rất rẻ luôn 😉😉",3
5,5,home made,"Hai đứa ăn xong đau bụng cả ngày
Chân gà ok nhưng nước ko ngon",2
6,6,home made,"Tối nằm lướt hàng quán không biết ăn gì. Trong bao nhiêu shop thì tình cờ lướt qua shop này.
Set 5 chân đang giảm giá nên đặt ăn thử, thấy trên menu để hơn 60k cho suất này bình thường mà giảm còn 27k nên múc thử luôn.
Ship hàng nhanh, đếm đủ chân :v
Chân rút xương, giòn mềm vừa vị, không cần chấm thì với mình cũng đủ rồi. Nước chấm cũng không quá mặn. Đồ ăn kèm và gà chỉ hơi hơi cay, chua chua.
Tém lại là khá ổn, nhìn sạch sẽ và giá giảm nên vừa lòng.
Vì cơ thể hiện tại chưa tốt nên dù thèm cũng chưa ăn được nhiều, chờ tương lai giá rẻ thì mình sẽ đớp cho thoả nỗi lòng này :)))",4
7,7,home made,"Quá thất vọng vì khi mở nắp hộp thì thấy đồ đông đá nên k biết ăn hay k vì như vậy đòi k phải tươi. Vẫn quyết ắn thử,n k thể chịu nổi do buốt răng vì đá 😢. Có khi do dùng mã giảm giá nên bị bán đồ thừa",1
8,8,home made,"Mình thích ăn chân ở đây vì chân to vừa phải, ko bị trắng bóc kiểu tẩy, vị thì rất tuyệt vì nước ngâm chua ngọt vừa phải ngấm vào chân gà. Nước chấm ở đây ngon nhất trong các quán từng ăn, ăn chua thêm tí thì vắt thêm quả quất thì ăn vào thôi rồi
Hiện vẫn chưa tìm được quán chân gà nào chân ái hơn :)",5
9,9,home made,"Chân gà rút xương cực to, ăn giòn, thấm gia vị cực best. Thơm mùi xả, xíu cay, nghiện lắm mọi người ơi. Gói chấm đi kèm cũng cực ngon. Xoài chua ăn kèm khá hao. 1 hộp như này được 10 chân rút mà giá đã giảm khá ổn. Nhưng mình ăn cái này phải 2 hộp mới bõ. Lần nào ăn cũng đếm và chưa lần nào thiếu chân :> Đóng gói cẩn thận nhưng do tính chất hộp và vận chuyển nên vẫn rò nước ra chút. Ship nhanh. Ảnh cũ từ 1 năm trước, mình mới ăn lại gần đây nhưng không chụp. Mong quán giữ phong độ và ngày càng cải thiện chất lượng.",4
10,10,home made,"Theo mình chân gà ở đây ăn cũng được, điểm cộng là chán siêu bự ăn rất đã, gia vị hơi nhạt, mình phả bỏ thêm ớt vào, chán gà nếu được đóng trong túi zip sẽ pk hơn, k bị chảy nươc ra ngoài lúc vận chuyển.",3
