,Unnamed: 0,category,text,star
0,0,hotpot,"Mik k đọc bình luận, cũng đặt về ăn thử. Thấy đắt mà nước chấm k ngon. Nc chấm cái thì nhạt, cái thì mặn. Nói chung ăn k ngon. Nên điều chỉnh lại",1
1,1,hotpot,"Nay mình mới tới đây ăn lần đầu, phải có nhận xét đầu tiên là dao của nhà hàng rất xịn , cắt được 6 miếng thịt mỏng như tờ giấy , giá 60k. Mình hỏi nhân viên thì biết được định lượng của nhà hàng là 0.8 lạng / 1 suất :))) thực sự bỏ ra 60k mua đĩa thịt heo 0.8 lạng thì nghe nực cười :))) mình nói thật nếu không có điều chỉnh về vấn đề này thì quán còn vắng tanh dài dài !",1
2,2,hotpot,Mình xin nhận xét thế này. Đúng đến ăn thử một lần xem tnao . Ai dè làm hú hồn. Thịt thì toàn mỡ lại còn siêu mỏng . Nhìn quả xuất thịt 70k mà ứa nước mắt. Chắc khách đến ăn 1 lần và k hứa quay lại lần 2 như mình chắc nhiều 😂,1
3,3,hotpot,Minh them mon an dn vào ăn mà chỉ có món bánh tráng cuốn thịt heo . Bất ngờ mang ra đĩa chi có đung 6 lát thịt mỏng . giống đem tủ lạnh ra . Nem lụi thì dở thật .,1
4,4,hotpot,Nhân viên thì phải nhắc mới phục vụ. Ăn xong mới thấy mang nước ra dù gọi ngay từ đầu buổi T.T ăn bình thg . Thịt mỏng như tờ giấy .,2
5,5,hotpot,"🐯 Quán này gần nhà mình, tự nhiên thèm mì quảng nên ghé vào ăn. Quán này mặt tiền nhỏ nhưng khá rộng có hai tầng. Hai dãy bàn kê hai bên và không trang trí gì đặc biệt. 
🐯 Mỳ quảng mình gọi là mì quảng ếch. Nhân viên phục vụ nhanh và dễ thương. Đĩa mì mang lên khá bắt mắt và đầy đặn, trang trí đẹp và nhiều. Ếch nấu thấm nhưng hơi nhiều nước, rau không được tươi lắm. Bánh đa bị ỉu và mì quảng thì cứng và cảm giác sượng của để lâu ngày. Nói chỉ cả đĩa mỗi ếch ăn được. Giá 50k/phần.",3
6,6,hotpot,"Lên Foody thấy quán bị đánh điểm thấp quá, đọc cũng ghê ghê nhưng bạn mình đi ăn suốt lại khen nên lần này cũng liều vào ăn. Mình đi với mẹ, đi sớm (10h20 sáng) nên quán chỉ có món cuốn heo và nem lụi. Mình gọi 1 suất cuốn heo quay và 1 nem lụi. Suất heo quay được 6 miếng heo quay ăn giòn, chấm mắm nêm ngon lắm. Nhưng nem lụi (5 cái) thì chán, nước chấm siêu chán, chấm mắm nêm ok hơn. Đĩa rau sống tươi sạch, không héo hay mùi như mấy bạn review trước đâu. Đồ cuốn kèm hơi ít, phải gọi thêm đĩa nữa nhưng ko bị tính thêm tiền đâu. Đĩa cuốn heo 58k, đĩa nem lụi 50k. Tóm lại ăn ok nhưng giá hơi cao chút so với chất lượng. À, quán trông bên ngoài sáng sủa, bên trong gọn gàng nhưng điều hòa hỏng hay sao ấy, không mát lắm, bàn bẩn kiểu bị bụi, mình phải tự lau bằng giấy ướt mới an tâm. Nhân viên ok, bảo gì làm nấy, chỉ trông không chuyên nghiệp lắm thôi. Còn lại thì chắc mình dễ tính nên cũng không ác cảm với quán. Quên không chụp ảnh :))))",3
7,7,hotpot,"Lần đầu đến quán thấy địa chỉ cũng dễ tìm, không gian nhỏ gọn gàng, nhân viên nhiệt tình. Mẹ và em mình cùng đi ăn có gọi 2 xuất nem lụi , 1 bánh tráng thịt heo quay và 1 xuất bánh bột lọc, 1 bát mỳ quảng thịt gà. Mỳ quảng ăn ngon lắm .Nem nướng ăn khá ổn nhưng phần mắm chấm hơi nhạt, không có gì đặc biệt ( có thể do mình là đứa ăn mặn) :) . Phần thịt nướng thái miếng hơi mỏng và may là ăn không đến nỗi, nhưng phần mình thất vọng là đĩa bánh bột lọc của mình ăn thật sự không ngon chút nào, đĩa bé tý ấy...mà giá là 30k hay 40k mình không nhớ. Nói chung là đến ăn cho biết nhưng không chắc là mình có định quay lại quán hay không nữa - và mình cố gắng chụp ảnh có tâm rồi đó :)",3
8,8,hotpot,"Lần đầu đi ăn và ko muốn quay lại. 
- Giá 50k 1 suất mà thịt thái mỏng hơn lá lúa mỏng vl mỏng. Hẳn là người thái phải tầm master chef mới thái đc như vậy. Sợ thật. 
- Rau rửa ko sạch, héo, úa phản ánh với nhân viên xong rồi nhân viên cười trừ, ko xin lỗi, ko đổi cho đĩa rau mới. Quỳ
- Nước chanh thì pha chua quá, bảo thêm đường thì thêm lại thành ngọt quá combo thêm chanh bị đắng nữa. 
- Đồ ăn nước chấm thì bình thường 
Cơ bản thái độ nhân viên thiếu nhiệt tình niềm nở.",1
9,9,hotpot,"1 suất bánh tráng thịt luộc 50k theo mình giá hơi cao.
Thịt thái mỏng có 5 miếng
Đồ ăn tạm đc,nước chấm pha cũng được
Không gian nhỏ vừa phải",3
