,Unnamed: 0,category,text,star
0,0,pizza pasta burger,"Ngonn, khoai ngọt, gà cay nhiều hơn ngọt nhưng vẫn ngon",4
1,1,pizza pasta burger,"Miến Hàn Quốc giờ ăn khá khô, hầu như ko có thịt bò. Chất lượng đi xuống
Gà giòn",3
2,2,pizza pasta burger,"Dạo này gà của don đi xuống. 
Gà khô. Mình gọi nửa gà tuyết phomai và 1 phần khoai chiên. 
Đã dặn kĩ càng ghi chú là cho nước chấm mù tạt vàng r. 
Nhưng khi nhận thì ko cho bất kì loại nước chấm nào. 
Tương ớt còn k có để chấm khoai.",1
3,3,pizza pasta burger,"Mình là khách hàng cũng gọi là hay order gà Don, ở vài cơ sở khác nhau, nhưng dạo gần đây Don chuyển sang để nước chấm trong các túi trong suốt nhỏ, thực sự thấy rất bất tiện, hồi trước còn để trong hộp nhỏ, vừa sạch sẽ mà lượng nước chấm còn nhiều hơn, chuyển sang gói này vừa ít nc chấm mà còn mất vệ sinh vì phải đổ ra hộp giấy, nếu đã nt thì cho khách nhiều sốt lên, cho mấy bịch đi, cho có 1 tí thực sự cảm giác cho như cho có,.. Hnay giao đồ ăn cũng ko có dĩa hay giấy ăn gì.. Mình trả 200k để ăn 1 phần gà bên các bạn, nhận lại 1 chiếc hộp nhìn rất chuyên nghiệp đẹp đẽ, nhưng trải nghiệm về việc ít nước chấm, ko có dĩa, giấy ăn, thì mình thà hộp xấu nhưng mọi thứ tiện dùng, đầy đủ còn hơn, nếu mình đang ở chỗ ko có dĩa giấy ăn thì mình phải cầm tay ăn đúng ko?!.. những điều nho nhỏ thế này làm tự nhiên mất điểm với khách dù gà các bạn ăn ngon..",3
4,4,pizza pasta burger,"Lâu quá không ăn Don chicken nè, Hôm nay đi xem phim nên vào đây ăn luôn. Mình gọi khoai tây chiên, salad và gà rán sốt da vị. Gà rán vỏ ngoài vàng giòn xong được rưới 1 lớp sốt ngọt ngọt thơm phức, ăn khi còn nóng là tuyệt vời luôn mà hôm nay mình thấy ngọt quá hay lâu rồi mình không ăn nên vậy ta. Salad gà cajun tươi ngon và cay cay ăn cùng gà ngọt ngọt kia cho đỡ ngấy nè.
Về phục vụ, chán! Nhân viên quên đồ ăn kèm tùm lùm toàn để mình hỏi với nhắc thôi, nếu ai không biết chắc khỏi được mang ra quá. Đưa đồ cũng lẩu nữa.",4
5,5,pizza pasta burger,"Nhân viên nhiệt tình và vui vẻ.
Gà rán sốt ngọt, Gà nướng hay khoai tây cà ri vị ngon.
Ở đây panchan mình thấy củ cải ngon lắm, mình k ăn đc vị củ cải nhưng họ ướp chua rồi, ăn vs gà rất hợp ý ạ.",5
6,6,pizza pasta burger,"Don Chicken – Royal City
Mỗi khi thèm gà là lại nhớ ngay đến Don Chicken, 1 tiệm gà quen thuộc của mình mỗi khi cơn nghiện gà “vật” )))
Hầu như món gà nào của Don của rất ngon, gà mềm, thơm. Nhìn miếng thịt gà vàng óng, với lớp phô mai xịn sò phủ bên trên đủ làm mình mê đắm rồi. Gà miếng nào ra miếng nấy, chất lượng khỏi phải bàn luôn <3
Còn có cả món khoai tây cũng cực ngon, món mà không thể bỏ lỡ!
Không gian quán sạch sẽ, thoáng mát, phục vụ tạm ok.",4
7,7,pizza pasta burger,"Trước gọi gà sốt cay ăn tạm ổn, ship nhanh nh vỏ gà không được giòn lắm! Sốt ok! Mỗi tội ko thich ăn gà nửa con như này vì nhiều lườn quá",4
8,8,pizza pasta burger,"Mình ăn Don ở Royal 2 lần và chắc là mònh sẽ ko quay lại cơ sở này thêm lần nào nữa 🤦🏻‍♀️

Lần đầu mình đi thì vì mình có 1 voucher giảm giá nhận dc từ foody, đc giảm 50% các loại gà. Lúc mình đến và hỏi voucher thì nhân viên nhìn nhau ko biết và bảo micnh đợi r cầm voucher chụp ảnh gửi quản lý và phải đến 15p sau mình ms dc nhận câu tl là dùng dc. Mà trong tgian chờ cx ko nvien nào ra hỏi là c có muốn gọi đồ luôn hay ko. Sau đấy thì nvien nói rằng voucher áp dụng vs gà cả con chứ ko áp dụng nửa con (dù trên đấy ko ghi dkien áp dụng đấy) ok gọi cả con thì cả con dù gì cx dc kmai. Mình gọi nửa con ăn luôn còn nửa con kia nhờ nvien lát gói về vì hai chị e k thể xử hết con gà. Bạn nvien cx oke r nhưng lúc mình về nhờ nv lấy thì các b ấy ms nhớ ra và lúc ấy ms bđầu gói cho mình. Làm mình chờ thêm 15p nữa. Và trong lúc phục vụ nvien chỉ bày panchan mà quên sốt chấm của mình, phải nhắc nvien ms nhớ ra. Và cả buổi mình ko nhận dc lời xin lỗi hay thông cảm nào :(

Lần 2 mình đi vs ny vì hai đứa đang đi chơi trong royal và ny nhìn thấy Don nên muốn ăn. Bọn mình cx vừa ăn tuần trc bên cơ sở Mai Hắc Đế và siêu ưng ý nên mình cx bỏ qua ác cảm vs Don Royal và vào ăn. Lúc vào thì mình bảo minh đi 2 ng rồi nhưng nvien vẫn chỉ cho mình vào 1 bàn khá to (vì lúc mình vào ko có ai) mình khá vui vẻ ngồi. Nvien mang panchan và sốt chấm lên cùng nc một lúc thì có 1 nhóm khách đông vào. Thấy ko còn chỗ (vì ko gian Don Royal rất bé) nên nvien lại ra nói vs mình chuyển bàn. Mình hơi bực mình nhưng cx thông cảm vì nhà hàng bé. Mình gọi đồ là gà và miến như hình. Trong lúc gọi mình có hỏi bạn order là bỏ hành tây giúp mình trong miến dc ko (vì bên Mai Hắc Đế mình hỏi thì nvien bảo có và bỏ hành cho mình) thì b nvien ngẩn ra và bảo để đi hỏi xem có hành ko. Lát sau b ấy bảo vâng e dặn bỏ hành cho c r ạ. Mình cảm ơn và yên tâm thì 1 lúc sau nvien bê hai bát miến giống hệt nhau ra và đặt 1 bát lên bàn mình. Mình cẩn thận hỏi lại b ơi của mình dặn ko hành thế đây có phải bát ko hành k b? Thì b nvien này lấy lại là bảo c để e hỏi lại. B ấy bê cả 2 bát ra quầy hỏi thì có b nvien đứng sau quầy còn ko thèm nhìn xem bạn nữ kia bê bát nào đã trả lời ừ ừ ko có hành đâu bỏ rồi. Sau đó mình nhận ra là cả 2 bát đều ko có hành thật và cx ko có cả vừng trắng rắc lên luôn 😂😂 

Chất lượng ở Don thì khá ổn định nhưng kb có phải hđấy mình bị bực mình ko nhưng gà thì ngon còn món miến thì nhạt nhẽo và quá nhiều dầu vừng. 

Có lẽ mình vx sẽ ăn Don nhưng kbh là cơ sở Royal nữa 🤚🏻

✅ 5/10",2
9,9,pizza pasta burger,"Hôm nay mình có tới cửa hàng để ăn gà cùng bạn mình. Mình không hiểu lắm khi khách hàng tới staff vẫn nhởn nhơ ngồi ăn mà không hề ra hỏi mong muốn của khách là gì. Thêm nữa, khi thanh toán, vì hoá đơn của mình là 189k nên khi trả lại mình tiền thừa, nhân viên thanh toán nói rằng "" Cho em xin 1k chị nhé cửa hàng em không có."" ?????

1k đối với bản thân mình chẳng là gì hết, nhưng nó thể hiện thái độ của nhân viên đấy ạ. Ủa 1k mình cũng bỏ ra công sức để kiếm được đâu có cho dễ dàng như vậy mà bạn nhân viên nói như thể điều đó là hiển nhiên vậy. Không một lời xin lỗi hay thông cảm gì, mình không hiểu nhân viên ở đây trước khi làm có được đào tạo không nữa. Họ đã làm vậy với 1 khách hàng thì chẳng có lí gì họ không làm với nhiều người khác nữa. 1k này xem ra nhiều lắm đấy.

Gà ăn cũng bình thường, không quá đặc biệt. 

Sẽ không bao giờ quay lại nhà hangd này",1
