,Unnamed: 0,category,text,star
0,0,vegetarian,"Món lẩu chay ở đây rất ngon, mình thích vị nước lẩu riêu, mỗi người 1 nồi nên cũng khá tiện lợi 😘",5
1,1,vegetarian,"Lần đầu tiên ăn ở đây mình thấy quán này rất yên tĩnh, ko gian đẹp, món ăn cũng được, đặc biệt ở đây có món lẩu chay rất ngon",5
2,2,vegetarian,"Quán mới nâng cấp khá sạch đẹp , món ăn ngon, ngày rằm và mùng 1 đông khách nên phải chờ lâu",5
3,3,vegetarian,"Không gian yên tĩnh, hiện đại, bàn ghế mới, sạch sẽ",5
4,4,vegetarian,"🎉🎉🎉 TUẦN LỄ KHAI TRƯƠNG MỚI CHỈ BẮT ĐẦU 🎉🎉🎉

💚 Cả nhà ơi! Tuần lễ khai trương mới bắt đầu thôi. Cuối tuần này hãy đến ngay Nhất Tâm để thưởng thức những món chay cực ngon cực bổ dưỡng nhé :>

💚 Đến với Nhất Tâm, thực khách sẽ được thưởng thức 5 MÓN LẨU BUFFET MỚI, với công thức bí mật của nhà hàng.
🥘 Lẩu Thái
🥘 Lẩu chua cay tảo xoắn
🥘 Lẩu nấm
🥘 Lẩu dưỡng sinh
🥘 Lẩu riêu

💚 Kính mời toàn thể bà con đến ủng hộ!
🏠 Địa chỉ: Số 2F, ngõ 81 Láng Hạ

----------
☎️ Hotline: 091 609 9266 / 091 23 23 623",5
5,5,vegetarian,Món Buffet lẩu chay rất ngon,5
6,6,vegetarian,Mình gọi grab ship về đĩa cuốn rong biển chiên giòn này. Cảm thấy thực sự k đáng. Đẫm dầu mỡ và còn bị cháy. 50k được mấy miếng lèo tèo. K bao giờ quay trở lại😤,1
7,7,vegetarian,"Mình đến ăn hôm mùng 1 vừa rồi. Ăn buffet. Giá 120k/người. Cũng vừa phải. Nhưng hơi ít món.
Quán hơi nhỏ. Trong ngõ nhung cũng dễ tìm, có chỗ để xe thoải mái. Nhân viên nhiệt tình
Mình đến quán cũng chưa đông lắm, chứ với sức chứa tầm 20 chục người mà full thì chắc là lấy đồ ăn hơi khó khăn.
- Mình thích miến xào và xôi chè ở đây.
- Các món khác cũng bình thường.
Chắc là sẽ quay lại ăn thử gọi món xem sao",3
8,8,vegetarian,"Trưa thứ 7 vừa rồi rảnh mình qua đây ăn buffet chay. Vì không phải ngày rằm, mồng 1 nên quán cũng không đông lắm. Buffet chay thực đơn gồm tầm 30 món được nấu khá vừa miệng và tinh tế. Một số món có thêm rau hay nước chấm riêng thấy khá hay như món dồi chó chay thì có thêm lá mơ lông, nem chạo thì có lá sung... Món bún canh chua dọc mùng cũng khá ngon, nước canh ngọt thanh của rau rủ, chua dịu rất dễ ăn. Giá 120k/ người, khá ổn để bạn trải nghiệm 1 bữa chay ngon và tinh tế.",4
9,9,vegetarian,"Nhà hàng nằm trong ngõ nhưng rất dễ tìm, mình đến lần đầu nhưng đi cái tìm được luôn. Không gian quán vừa phải, trong tủ bày rất nhiều tượng Phật. Chị chủ quán hiền và dễ chịu. Món cháo nấm và giò chay siêu ngon luôn, thơm phức và vừa miệng. Sữa ngô uống cũng rất ok. Buổi trưa có buffet chay nữa thì phải, bữa nào sẽ thử :)",3
10,10,vegetarian,"Hộp cơm được đựng trong hộp giấy, có ý thức bảo vệ môi trường. Cơm cũng ngon ạ 👍 Mong quán tiếp tục phát huy",5
11,11,vegetarian,"Điểm cộng cao cửa hàng sử dụng hộp giấy thân thiện với môi trường, thức ăn vừa miệng
Điểm trừ đặt 4 suất cho 3 bộ thìa đũa :))
Nói chung sẽ đặt lại lần sau.",2
